id,season,gameweek,manager_name,opponent_name,points_for,points_against,result,imported_at
00451c4d-c7e9-453b-acd5-12769d947043,2021/22,35,LENNART,DAVID,53,31,W,2026-01-26 21:17:54.472156+00
0056af28-1d92-4b97-807b-83bfcf483daa,2022/23,12,PATRICK,MATT,29,31,L,2026-01-26 21:17:54.472156+00
00883488-facb-445e-9f50-2dd398c27941,2024/25,14,MARCO,DAVID,46,31,W,2026-01-26 21:17:54.472156+00
00b62bef-e938-44c4-97dc-4aca7b5b5d17,2023/24,29,PATRICK,CHRIS,17,9,W,2026-01-26 21:17:54.472156+00
00c5d9c0-0403-4617-ac0e-44a37a0ce339,2022/23,22,IAN,DAVID,24,45,L,2026-01-26 21:17:54.472156+00
00d58ceb-8f8e-48ac-8039-2c0400a8981a,2024/25,1,MAX,MARCO,36,34,W,2026-01-26 21:17:54.472156+00
00d85e6a-e14f-4e0d-a3d5-c633f74dd0a4,2022/23,6,HENRI,MARCO,46,27,W,2026-01-26 21:17:54.472156+00
00e1139d-00e5-481b-861d-f19d7d21a6b2,2021/22,31,MATT,PATRICK,49,41,W,2026-01-26 21:17:54.472156+00
00e3d82d-9905-48ff-b520-dc96146a4a79,2024/25,12,DAVID,PATRICK,39,49,L,2026-01-26 21:17:54.472156+00
00fbbd74-16d3-4233-b719-eadfc3150233,2024/25,16,MAX,CHRIS,37,32,W,2026-01-26 21:17:54.472156+00
0122e3ba-356d-463d-9383-5f880126bda3,2023/24,15,BENJI,MAX,36,37,L,2026-01-26 21:17:54.472156+00
01358d7a-934c-4cdd-8a29-e1a7d4de4d37,2022/23,14,BENJI,LENNART,52,40,W,2026-01-26 21:17:54.472156+00
01634ad2-d67b-493e-a3c1-f485064e054b,2021/22,31,BENJI,MARCO,37,75,L,2026-01-26 21:17:54.472156+00
016d0d72-bb7c-49bf-912a-a9a494388632,2021/22,31,DAVID,HENRI,31,33,L,2026-01-26 21:17:54.472156+00
01792f6d-0c53-4c08-aa31-5929270f1622,2021/22,28,MARCO,PATRICK,36,66,L,2026-01-26 21:17:54.472156+00
019e5078-593d-412a-b735-4deedc1f196c,2021/22,6,LENNART,CHRIS,24,16,W,2026-01-26 21:17:54.472156+00
01b8feb7-7746-49cb-8550-4cac2df1cbb9,2023/24,19,MAX,IAN,43,30,W,2026-01-26 21:17:54.472156+00
01cace6a-7911-4087-ae7f-a582a479ce83,2022/23,1,CHRIS,MATT,35,45,L,2026-01-26 21:17:54.472156+00
0220c571-63e3-497d-8560-60b8504d9c44,2022/23,22,BENJI,PATRICK,52,49,W,2026-01-26 21:17:54.472156+00
02562036-2bdb-4d9b-ab9d-d000eb6523ad,2024/25,12,MATT,BENJI,33,19,W,2026-01-26 21:17:54.472156+00
026191d4-7bcf-438f-8992-8b65361ac48f,2023/24,24,DAVID,MATT,14,48,L,2026-01-26 21:17:54.472156+00
02a152b6-7016-4cc9-b9d3-10930fec0fb7,2024/25,29,CHRIS,MARCO,28,36,L,2026-01-26 21:17:54.472156+00
02b8f69d-ae6e-4006-a34e-ae4d260cca80,2022/23,7,MATT,MARCO,0,0,D,2026-01-26 21:17:54.472156+00
0300d24f-6008-45d8-b40b-5780608e9bd7,2024/25,12,PATRICK,BENJI,46,27,W,2026-01-26 21:17:54.472156+00
03381d4e-fa74-4424-b611-feedcb4f896d,2021/22,20,MAX,IAN,36,36,D,2026-01-26 21:17:54.472156+00
03514713-258f-4ffa-ae9a-d94e4b0f577a,2024/25,12,HENRI,LENNART,35,42,L,2026-01-26 21:17:54.472156+00
037caa59-9f1e-4646-a26f-1c5600b32cfa,2023/24,27,PATRICK,DAVID,56,28,W,2026-01-26 21:17:54.472156+00
0392c143-c1a6-4139-96ce-3ae43fa7b1c7,2021/22,36,IAN,CHRIS,67,83,L,2026-01-26 21:17:54.472156+00
03ae5131-aeb9-46ae-9b60-66312749575a,2024/25,5,LENNART,MATT,54,39,W,2026-01-26 21:17:54.472156+00
03e4d59d-7808-41d1-a0bc-255850056ff9,2023/24,6,IAN,PATRICK,33,50,L,2026-01-26 21:17:54.472156+00
041a1ba5-d5d9-425e-94d7-956ba1d061f2,2024/25,12,CHRIS,IAN,34,41,L,2026-01-26 21:17:54.472156+00
04278b10-13c9-495f-8bef-0df4317d85d3,2023/24,38,PATRICK,CHRIS,40,53,L,2026-01-26 21:17:54.472156+00
04942ced-6452-4707-8c8c-ccdcd4c4f7e3,2022/23,1,MARCO,IAN,39,54,L,2026-01-26 21:17:54.472156+00
0496eb62-f3bf-4f4f-9364-338f9728f89a,2022/23,5,HENRI,LENNART,28,31,L,2026-01-26 21:17:54.472156+00
04cff983-6412-49ce-9c1f-58b63bfae33d,2024/25,8,LENNART,CHRIS,57,38,W,2026-01-26 21:17:54.472156+00
04f0fcd6-d864-4933-9093-42151eb46f14,2021/22,9,CHRIS,IAN,32,40,L,2026-01-26 21:17:54.472156+00
04f48414-3b39-4c0a-8e3c-50c50329326d,2021/22,28,LENNART,BENJI,87,68,W,2026-01-26 21:17:54.472156+00
051fc003-9cdb-41e0-8741-c86b08ee521f,2021/22,29,PATRICK,LENNART,52,87,L,2026-01-26 21:17:54.472156+00
0532d5e9-6029-4687-ad99-e88dbda51727,2022/23,38,HENRI,PATRICK,39,57,L,2026-01-26 21:17:54.472156+00
053aaf76-7873-400d-973e-0f6afbd2dc47,2023/24,13,CHRIS,HENRI,51,35,W,2026-01-26 21:17:54.472156+00
053eb9ef-678b-4745-bf03-185f4ac604b9,2021/22,1,PATRICK,MARCO,43,76,L,2026-01-26 21:17:54.472156+00
05412037-6c6f-4cf3-baf5-49ab9a956d2d,2024/25,27,MAX,MATT,43,53,L,2026-01-26 21:17:54.472156+00
054e8992-1dd0-485f-9794-985f514bb23c,2023/24,19,MATT,LENNART,16,64,L,2026-01-26 21:17:54.472156+00
05593f2e-637d-428e-b92c-9edf745b1124,2023/24,17,IAN,HENRI,41,37,W,2026-01-26 21:17:54.472156+00
05647599-99d6-4271-85f6-cf57ad6266c0,2024/25,37,IAN,PATRICK,38,63,L,2026-01-26 21:17:54.472156+00
0583f38d-8e3c-4e8a-9a7f-4f678ddd6be7,2024/25,13,MATT,DAVID,33,37,L,2026-01-26 21:17:54.472156+00
059f379f-3778-4f29-a70c-27c764a1046e,2024/25,1,PATRICK,IAN,67,63,W,2026-01-26 21:17:54.472156+00
05c5c0d8-ab26-4843-b363-83b9d88d2954,2024/25,24,MAX,IAN,61,31,W,2026-01-26 21:17:54.472156+00
05d15dd4-a7c2-4348-89f7-76b9bc9983ca,2022/23,10,MATT,CHRIS,59,48,W,2026-01-26 21:17:54.472156+00
05e0cd5a-1a52-4ee5-a26d-cd8f3f82bff4,2023/24,22,IAN,MATT,50,28,W,2026-01-26 21:17:54.472156+00
05e80fdf-cedd-4dce-9e5c-3d8075a7ee74,2024/25,2,IAN,MATT,30,53,L,2026-01-26 21:17:54.472156+00
