id,manager_name,opponent_name,season,wins,draws,losses,avg_points,games_played,imported_at
00b6ad93-f990-49c7-8264-f18808e8c6bc,MATT,CHRIS,,9,0,10,1.42,19,2026-01-26 21:18:23.786174+00
0363ee41-4c28-4b0f-965e-51153e88fd47,BENJI,MATT,,4,0,14,0.67,18,2026-01-26 21:18:23.786174+00
03e61a71-6014-4ef4-a740-80beda42ae95,DAVID,MATT,,7,1,10,1.22,18,2026-01-26 21:18:23.786174+00
061c4796-99df-475a-9857-94fd914a3c38,MAX,MATT,,8,1,10,1.32,19,2026-01-26 21:18:23.786174+00
0b275ae2-6ca9-48e1-b7fc-a0b9d89f339a,HENRI,LENNART,,9,2,5,1.81,16,2026-01-26 21:18:23.786174+00
121cd10f-e010-4674-90e4-e5e19d924609,MARCO,HENRI,,10,1,7,1.72,18,2026-01-26 21:18:23.786174+00
1a874964-d94f-48cc-a9c9-534c25ad79f1,CHRIS,MARCO,,10,0,8,1.67,18,2026-01-26 21:18:23.786174+00
1aa15334-ebb4-409f-8f1d-34415ea68de3,MARCO,MAX,,11,0,8,1.74,19,2026-01-26 21:18:23.786174+00
1ae10bbb-1b6b-410e-bd4d-55970af69fc1,MARCO,LENNART,,9,0,9,1.50,18,2026-01-26 21:18:23.786174+00
1d8698b5-f13b-4a9b-9630-7f138390e17f,BENJI,HENRI,,7,0,13,1.05,20,2026-01-26 21:18:23.786174+00
23c7fac9-da05-434a-80f4-522c755e04e4,MATT,IAN,,8,0,11,1.26,19,2026-01-26 21:18:23.786174+00
25600a98-89fb-4ffd-954c-0aa0c5d8c453,MATT,PATRICK,,11,0,7,1.83,18,2026-01-26 21:18:23.786174+00
278e7be5-446f-41d8-bd6d-10a06d308451,CHRIS,DAVID,,6,0,13,0.95,19,2026-01-26 21:18:23.786174+00
27f08031-9c65-4ca8-a632-b3e2cf15460a,IAN,PATRICK,,10,0,9,1.58,19,2026-01-26 21:18:23.786174+00
298007db-e23d-478c-b75f-d8beda37f677,HENRI,IAN,,6,1,9,1.19,16,2026-01-26 21:18:23.786174+00
2b5bac9f-b66b-4b52-8727-aa079aa448bc,IAN,MARCO,,7,0,12,1.11,19,2026-01-26 21:18:23.786174+00
306a061f-3396-4dbb-94e6-2d73a50ce7e2,MATT,LENNART,,8,1,9,1.39,18,2026-01-26 21:18:23.786174+00
33782983-4c7c-4bba-8b15-461e95c6d73f,MAX,BENJI,,9,0,8,1.59,17,2026-01-26 21:18:23.786174+00
404cae74-9d92-40e9-ba64-bb0f83d57d4b,MATT,MARCO,,11,2,7,1.75,20,2026-01-26 21:18:23.786174+00
411f8621-23ea-4da9-b244-3bbfbe35de95,MARCO,CHRIS,,9,0,10,1.42,19,2026-01-26 21:18:23.786174+00
4501bf24-a32c-4c08-9161-bf2fdd73869d,HENRI,MATT,,8,0,9,1.41,17,2026-01-26 21:18:23.786174+00
4adb061a-fbd3-4635-b23f-b0723b5baed9,LENNART,PATRICK,,7,0,11,1.17,18,2026-01-26 21:18:23.786174+00
