id,season,manager_name,final_rank,wins,draws,losses,points,points_for,competition_type,imported_at
00b492ae-4b52-49ea-ab84-828c1e14f56b,2021/22,PATRICK,10,14,0,24,0,1488,goblet,2026-01-26 20:35:27.048169+00
0187bc7e-2cdf-41bb-8e01-d3a3db18b96a,2022/23,DAVID,4,19,3,16,60,1544,league,2026-01-26 20:35:27.048169+00
05125fa4-d17d-4cda-afec-593ccb837795,2024/25,LENNART,10,14,1,23,0,1302,goblet,2026-01-26 20:35:27.048169+00
06e9062c-6325-4b22-805c-8243ba64e564,2021/22,CHRIS,8,17,0,21,0,1538,goblet,2026-01-26 20:35:27.048169+00
0ad7dba8-6264-4600-b9ba-6b91f2d8c137,2022/23,MARCO,8,16,3,19,51,1526,league,2026-01-26 20:35:27.048169+00
0ebfdaf0-d81e-49e0-8e98-68f920d8c47a,2024/25,DAVID,7,18,0,20,54,1519,league,2026-01-26 20:35:27.048169+00
128ced29-24ad-4b20-aa53-50fbd94dd3ef,2022/23,MARCO,7,16,3,19,0,1526,goblet,2026-01-26 20:35:27.048169+00
17384e21-fe28-4ffb-a6bc-dfcfd9595317,2022/23,CHRIS,3,17,1,20,0,1611,goblet,2026-01-26 20:35:27.048169+00
19aa38e4-b936-40d6-94b5-1cc8acc87bd8,2021/22,MAX,10,10,2,26,32,1543,league,2026-01-26 20:35:27.048169+00
19e98d0a-290a-4782-bf9e-741bc4543bd1,2024/25,MAX,5,20,0,18,60,1541,league,2026-01-26 20:35:27.048169+00
1ac19123-7c9d-4f09-ad47-a407d4083af8,2021/22,MAX,7,10,2,26,0,1543,goblet,2026-01-26 20:35:27.048169+00
1b5a10a3-354d-497f-b4da-f32f5ecf37fa,2022/23,PATRICK,2,21,1,16,0,1682,goblet,2026-01-26 20:35:27.048169+00
1c10580e-c440-460e-95cb-8e5c032aafda,2022/23,BENJI,9,17,1,20,0,1418,goblet,2026-01-26 20:35:27.048169+00
200c9749-0f51-4549-8736-1d8f89badc1f,2021/22,LENNART,1,21,0,17,0,1787,goblet,2026-01-26 20:35:27.048169+00
2131a82c-9f2b-4039-af8c-42ec1c44827d,2021/22,MARCO,2,23,0,15,0,1780,goblet,2026-01-26 20:35:27.048169+00
223fc080-2474-43b6-b32c-c9ddad20a81a,2023/24,LENNART,2,22,1,15,67,1618,league,2026-01-26 20:35:27.048169+00
2452ffee-1cb9-4e09-b33f-f2a657e93ee1,2021/22,LENNART,5,21,0,17,63,1787,league,2026-01-26 20:35:27.048169+00
2ae225ee-d708-4b12-b711-ec55a85d760a,2023/24,IAN,8,16,2,20,50,1533,league,2026-01-26 20:35:27.048169+00
2bb83d56-dca8-43de-9e83-923d5b1bba90,2022/23,MAX,10,12,1,25,37,1399,league,2026-01-26 20:35:27.048169+00
